code,predicted_pm2.5,geometry
0,5.493305, -0.1491119035287124 51.46171004780764_ -0.1491119035287124 51.462772882432816_ -0.150818888854941 51.462772882432816_ -0.150818888854941 51.46171004780764_ -0.1491119035287124 51.46171004780764
1,5.7542925, -0.1491119035287124 51.462772882432816_ -0.1491119035287124 51.463835717058_ -0.150818888854941 51.463835717058_ -0.150818888854941 51.462772882432816_ -0.1491119035287124 51.462772882432816
2,5.709242, -0.1491119035287124 51.463835717058_ -0.1491119035287124 51.46489855168317_ -0.150818888854941 51.46489855168317_ -0.150818888854941 51.463835717058_ -0.1491119035287124 51.463835717058
3,5.591226, -0.1491119035287124 51.46489855168317_ -0.1491119035287124 51.46596138630835_ -0.150818888854941 51.46596138630835_ -0.150818888854941 51.46489855168317_ -0.1491119035287124 51.46489855168317
4,5.221899, -0.1491119035287124 51.46596138630835_ -0.1491119035287124 51.467024220933524_ -0.150818888854941 51.467024220933524_ -0.150818888854941 51.46596138630835_ -0.1491119035287124 51.46596138630835
5,5.745198, -0.1491119035287124 51.467024220933524_ -0.1491119035287124 51.468087055558705_ -0.150818888854941 51.468087055558705_ -0.150818888854941 51.467024220933524_ -0.1491119035287124 51.467024220933524
6,4.9017615, -0.1491119035287124 51.468087055558705_ -0.1491119035287124 51.46914989018388_ -0.150818888854941 51.46914989018388_ -0.150818888854941 51.468087055558705_ -0.1491119035287124 51.468087055558705
7,6.1148634, -0.1491119035287124 51.46914989018388_ -0.1491119035287124 51.47021272480905_ -0.150818888854941 51.47021272480905_ -0.150818888854941 51.46914989018388_ -0.1491119035287124 51.46914989018388
8,6.264584, -0.1491119035287124 51.47021272480905_ -0.1491119035287124 51.47127555943423_ -0.150818888854941 51.47127555943423_ -0.150818888854941 51.47021272480905_ -0.1491119035287124 51.47021272480905
9,7.4120283, -0.1491119035287124 51.47127555943423_ -0.1491119035287124 51.472338394059406_ -0.150818888854941 51.472338394059406_ -0.150818888854941 51.47127555943423_ -0.1491119035287124 51.47127555943423
10,6.316972, -0.1491119035287124 51.472338394059406_ -0.1491119035287124 51.47340122868459_ -0.150818888854941 51.47340122868459_ -0.150818888854941 51.472338394059406_ -0.1491119035287124 51.472338394059406
11,5.7014728, -0.1491119035287124 51.47340122868459_ -0.1491119035287124 51.47446406330976_ -0.150818888854941 51.47446406330976_ -0.150818888854941 51.47340122868459_ -0.1491119035287124 51.47340122868459
12,6.119188, -0.1491119035287124 51.47446406330976_ -0.1491119035287124 51.47552689793494_ -0.150818888854941 51.47552689793494_ -0.150818888854941 51.47446406330976_ -0.1491119035287124 51.47446406330976
13,5.4869094, -0.1491119035287124 51.47552689793494_ -0.1491119035287124 51.476589732560114_ -0.150818888854941 51.476589732560114_ -0.150818888854941 51.47552689793494_ -0.1491119035287124 51.47552689793494
14,5.409153, -0.1491119035287124 51.476589732560114_ -0.1491119035287124 51.477652567185295_ -0.150818888854941 51.477652567185295_ -0.150818888854941 51.476589732560114_ -0.1491119035287124 51.476589732560114
