code,predicted_pm2.5,geometry
0,5.1498013, -0.1491119035287124 51.46171004780764_ -0.1491119035287124 51.46268431288072_ -0.1506766400777553 51.46268431288072_ -0.1506766400777553 51.46171004780764_ -0.1491119035287124 51.46171004780764
1,5.184367, -0.1491119035287124 51.46268431288072_ -0.1491119035287124 51.4636585779538_ -0.1506766400777553 51.4636585779538_ -0.1506766400777553 51.46268431288072_ -0.1491119035287124 51.46268431288072
2,5.485206, -0.1491119035287124 51.4636585779538_ -0.1491119035287124 51.46463284302688_ -0.1506766400777553 51.46463284302688_ -0.1506766400777553 51.4636585779538_ -0.1491119035287124 51.4636585779538
3,6.065787, -0.1491119035287124 51.46463284302688_ -0.1491119035287124 51.46560710809996_ -0.1506766400777553 51.46560710809996_ -0.1506766400777553 51.46463284302688_ -0.1491119035287124 51.46463284302688
4,6.431329, -0.1491119035287124 51.46560710809996_ -0.1491119035287124 51.466581373173035_ -0.1506766400777553 51.466581373173035_ -0.1506766400777553 51.46560710809996_ -0.1491119035287124 51.46560710809996
5,6.1992207, -0.1491119035287124 51.466581373173035_ -0.1491119035287124 51.46755563824611_ -0.1506766400777553 51.46755563824611_ -0.1506766400777553 51.466581373173035_ -0.1491119035287124 51.466581373173035
6,6.0933228, -0.1491119035287124 51.46755563824611_ -0.1491119035287124 51.468529903319194_ -0.1506766400777553 51.468529903319194_ -0.1506766400777553 51.46755563824611_ -0.1491119035287124 51.46755563824611
7,5.9645557, -0.1491119035287124 51.468529903319194_ -0.1491119035287124 51.46950416839227_ -0.1506766400777553 51.46950416839227_ -0.1506766400777553 51.468529903319194_ -0.1491119035287124 51.468529903319194
8,5.671566, -0.1491119035287124 51.46950416839227_ -0.1491119035287124 51.47047843346535_ -0.1506766400777553 51.47047843346535_ -0.1506766400777553 51.46950416839227_ -0.1491119035287124 51.46950416839227
9,5.515641, -0.1491119035287124 51.47047843346535_ -0.1491119035287124 51.47145269853843_ -0.1506766400777553 51.47145269853843_ -0.1506766400777553 51.47047843346535_ -0.1491119035287124 51.47047843346535
10,5.4606915, -0.1491119035287124 51.47145269853843_ -0.1491119035287124 51.472426963611504_ -0.1506766400777553 51.472426963611504_ -0.1506766400777553 51.47145269853843_ -0.1491119035287124 51.47145269853843
11,5.3965745, -0.1491119035287124 51.472426963611504_ -0.1491119035287124 51.47340122868459_ -0.1506766400777553 51.47340122868459_ -0.1506766400777553 51.472426963611504_ -0.1491119035287124 51.472426963611504
12,5.1002035, -0.1491119035287124 51.47340122868459_ -0.1491119035287124 51.47437549375766_ -0.1506766400777553 51.47437549375766_ -0.1506766400777553 51.47340122868459_ -0.1491119035287124 51.47340122868459
13,5.3340673, -0.1491119035287124 51.47437549375766_ -0.1491119035287124 51.475349758830745_ -0.1506766400777553 51.475349758830745_ -0.1506766400777553 51.47437549375766_ -0.1491119035287124 51.47437549375766
14,5.3136754, -0.1491119035287124 51.475349758830745_ -0.1491119035287124 51.47632402390382_ -0.1506766400777553 51.47632402390382_ -0.1506766400777553 51.475349758830745_ -0.1491119035287124 51.475349758830745
15,5.730736, -0.1491119035287124 51.47632402390382_ -0.1491119035287124 51.4772982889769_ -0.1506766400777553 51.4772982889769_ -0.1506766400777553 51.47632402390382_ -0.1491119035287124 51.47632402390382
16,5.510339, -0.1491119035287124 51.4772982889769_ -0.1491119035287124 51.47827255404998_ -0.1506766400777553 51.47827255404998_ -0.1506766400777553 51.4772982889769_ -0.1491119035287124 51.4772982889769
17,5.1498823, -0.1491119035287124 51.47827255404998_ -0.1491119035287124 51.479246819123055_ -0.1506766400777553 51.479246819123055_ -0.1506766400777553 51.47827255404998_ -0.1491119035287124 51.47827255404998
18,5.280098, -0.1491119035287124 51.479246819123055_ -0.1491119035287124 51.48022108419614_ -0.1506766400777553 51.48022108419614_ -0.1506766400777553 51.479246819123055_ -0.1491119035287124 51.479246819123055
19,5.0479565, -0.1491119035287124 51.48022108419614_ -0.1491119035287124 51.481195349269214_ -0.1506766400777553 51.481195349269214_ -0.1506766400777553 51.48022108419614_ -0.1491119035287124 51.48022108419614
20,5.0074015, -0.1491119035287124 51.481195349269214_ -0.1491119035287124 51.48216961434229_ -0.1506766400777553 51.48216961434229_ -0.1506766400777553 51.481195349269214_ -0.1491119035287124 51.481195349269214
21,4.988826, -0.1491119035287124 51.48216961434229_ -0.1491119035287124 51.48314387941537_ -0.1506766400777553 51.48314387941537_ -0.1506766400777553 51.48216961434229_ -0.1491119035287124 51.48216961434229
22,5.7735806, -0.1491119035287124 51.48314387941537_ -0.1491119035287124 51.48411814448845_ -0.1506766400777553 51.48411814448845_ -0.1506766400777553 51.48314387941537_ -0.1491119035287124 51.48314387941537
23,5.871065, -0.1491119035287124 51.48411814448845_ -0.1491119035287124 51.48509240956153_ -0.1506766400777553 51.48509240956153_ -0.1506766400777553 51.48411814448845_ -0.1491119035287124 51.48411814448845
