code,predicted_pm2.5,geometry
0,5.762428, -0.1491119035287124 51.46171004780764_ -0.1491119035287124 51.462772882432816_ -0.150818888854941 51.462772882432816_ -0.150818888854941 51.46171004780764_ -0.1491119035287124 51.46171004780764
1,5.8437414, -0.1491119035287124 51.462772882432816_ -0.1491119035287124 51.463835717058_ -0.150818888854941 51.463835717058_ -0.150818888854941 51.462772882432816_ -0.1491119035287124 51.462772882432816
2,6.000049, -0.1491119035287124 51.463835717058_ -0.1491119035287124 51.46489855168317_ -0.150818888854941 51.46489855168317_ -0.150818888854941 51.463835717058_ -0.1491119035287124 51.463835717058
3,6.4413233, -0.1491119035287124 51.46489855168317_ -0.1491119035287124 51.46596138630835_ -0.150818888854941 51.46596138630835_ -0.150818888854941 51.46489855168317_ -0.1491119035287124 51.46489855168317
4,7.020623, -0.1491119035287124 51.46596138630835_ -0.1491119035287124 51.467024220933524_ -0.150818888854941 51.467024220933524_ -0.150818888854941 51.46596138630835_ -0.1491119035287124 51.46596138630835
5,7.0891814, -0.1491119035287124 51.467024220933524_ -0.1491119035287124 51.468087055558705_ -0.150818888854941 51.468087055558705_ -0.150818888854941 51.467024220933524_ -0.1491119035287124 51.467024220933524
6,6.8730354, -0.1491119035287124 51.468087055558705_ -0.1491119035287124 51.46914989018388_ -0.150818888854941 51.46914989018388_ -0.150818888854941 51.468087055558705_ -0.1491119035287124 51.468087055558705
7,6.414777, -0.1491119035287124 51.46914989018388_ -0.1491119035287124 51.47021272480905_ -0.150818888854941 51.47021272480905_ -0.150818888854941 51.46914989018388_ -0.1491119035287124 51.46914989018388
8,6.312951, -0.1491119035287124 51.47021272480905_ -0.1491119035287124 51.47127555943423_ -0.150818888854941 51.47127555943423_ -0.150818888854941 51.47021272480905_ -0.1491119035287124 51.47021272480905
9,6.211855, -0.1491119035287124 51.47127555943423_ -0.1491119035287124 51.472338394059406_ -0.150818888854941 51.472338394059406_ -0.150818888854941 51.47127555943423_ -0.1491119035287124 51.47127555943423
10,6.1718016, -0.1491119035287124 51.472338394059406_ -0.1491119035287124 51.47340122868459_ -0.150818888854941 51.47340122868459_ -0.150818888854941 51.472338394059406_ -0.1491119035287124 51.472338394059406
11,5.9818115, -0.1491119035287124 51.47340122868459_ -0.1491119035287124 51.47446406330976_ -0.150818888854941 51.47446406330976_ -0.150818888854941 51.47340122868459_ -0.1491119035287124 51.47340122868459
12,6.157123, -0.1491119035287124 51.47446406330976_ -0.1491119035287124 51.47552689793494_ -0.150818888854941 51.47552689793494_ -0.150818888854941 51.47446406330976_ -0.1491119035287124 51.47446406330976
13,6.3545027, -0.1491119035287124 51.47552689793494_ -0.1491119035287124 51.476589732560114_ -0.150818888854941 51.476589732560114_ -0.150818888854941 51.47552689793494_ -0.1491119035287124 51.47552689793494
14,6.558983, -0.1491119035287124 51.476589732560114_ -0.1491119035287124 51.477652567185295_ -0.150818888854941 51.477652567185295_ -0.150818888854941 51.476589732560114_ -0.1491119035287124 51.476589732560114
15,6.1461267, -0.1491119035287124 51.477652567185295_ -0.1491119035287124 51.47871540181047_ -0.150818888854941 51.47871540181047_ -0.150818888854941 51.477652567185295_ -0.1491119035287124 51.477652567185295
16,5.9459696, -0.1491119035287124 51.47871540181047_ -0.1491119035287124 51.47977823643564_ -0.150818888854941 51.47977823643564_ -0.150818888854941 51.47871540181047_ -0.1491119035287124 51.47871540181047
17,5.929746, -0.1491119035287124 51.47977823643564_ -0.1491119035287124 51.48084107106082_ -0.150818888854941 51.48084107106082_ -0.150818888854941 51.47977823643564_ -0.1491119035287124 51.47977823643564
18,5.863825, -0.1491119035287124 51.48084107106082_ -0.1491119035287124 51.481903905685996_ -0.150818888854941 51.481903905685996_ -0.150818888854941 51.48084107106082_ -0.1491119035287124 51.48084107106082
19,5.8268504, -0.1491119035287124 51.481903905685996_ -0.1491119035287124 51.48296674031118_ -0.150818888854941 51.48296674031118_ -0.150818888854941 51.481903905685996_ -0.1491119035287124 51.481903905685996
20,5.877065, -0.1491119035287124 51.48296674031118_ -0.1491119035287124 51.48402957493635_ -0.150818888854941 51.48402957493635_ -0.150818888854941 51.48296674031118_ -0.1491119035287124 51.48296674031118
21,6.0616436, -0.1491119035287124 51.48402957493635_ -0.1491119035287124 51.48509240956153_ -0.150818888854941 51.48509240956153_ -0.150818888854941 51.48402957493635_ -0.1491119035287124 51.48402957493635
22,6.0510836, -0.1491119035287124 51.48509240956153_ -0.1491119035287124 51.486155244186705_ -0.150818888854941 51.486155244186705_ -0.150818888854941 51.48509240956153_ -0.1491119035287124 51.48509240956153
23,6.0578556, -0.1491119035287124 51.486155244186705_ -0.1491119035287124 51.48721807881188_ -0.150818888854941 51.48721807881188_ -0.150818888854941 51.486155244186705_ -0.1491119035287124 51.486155244186705
24,6.122023, -0.1491119035287124 51.48721807881188_ -0.1491119035287124 51.48828091343706_ -0.150818888854941 51.48828091343706_ -0.150818888854941 51.48721807881188_ -0.1491119035287124 51.48721807881188
25,5.9529557, -0.1491119035287124 51.48828091343706_ -0.1491119035287124 51.48934374806223_ -0.150818888854941 51.48934374806223_ -0.150818888854941 51.48828091343706_ -0.1491119035287124 51.48828091343706
26,6.210895, -0.1491119035287124 51.48934374806223_ -0.1491119035287124 51.49040658268741_ -0.150818888854941 51.49040658268741_ -0.150818888854941 51.48934374806223_ -0.1491119035287124 51.48934374806223
27,6.0896854, -0.1491119035287124 51.49040658268741_ -0.1491119035287124 51.49146941731259_ -0.150818888854941 51.49146941731259_ -0.150818888854941 51.49040658268741_ -0.1491119035287124 51.49040658268741
28,5.649122, -0.1491119035287124 51.49146941731259_ -0.1491119035287124 51.49253225193777_ -0.150818888854941 51.49253225193777_ -0.150818888854941 51.49146941731259_ -0.1491119035287124 51.49146941731259
29,6.5022116, -0.1491119035287124 51.49253225193777_ -0.1491119035287124 51.49359508656294_ -0.150818888854941 51.49359508656294_ -0.150818888854941 51.49253225193777_ -0.1491119035287124 51.49253225193777
30,6.6203647, -0.1491119035287124 51.49359508656294_ -0.1491119035287124 51.49465792118812_ -0.150818888854941 51.49465792118812_ -0.150818888854941 51.49359508656294_ -0.1491119035287124 51.49359508656294
31,6.5257845, -0.1491119035287124 51.49465792118812_ -0.1491119035287124 51.495720755813295_ -0.150818888854941 51.495720755813295_ -0.150818888854941 51.49465792118812_ -0.1491119035287124 51.49465792118812
32,6.473404, -0.1491119035287124 51.495720755813295_ -0.1491119035287124 51.49678359043847_ -0.150818888854941 51.49678359043847_ -0.150818888854941 51.495720755813295_ -0.1491119035287124 51.495720755813295
33,6.0336876, -0.1491119035287124 51.49678359043847_ -0.1491119035287124 51.49784642506365_ -0.150818888854941 51.49784642506365_ -0.150818888854941 51.49678359043847_ -0.1491119035287124 51.49678359043847
34,6.4718986, -0.1491119035287124 51.49784642506365_ -0.1491119035287124 51.49890925968882_ -0.150818888854941 51.49890925968882_ -0.150818888854941 51.49784642506365_ -0.1491119035287124 51.49784642506365
35,6.4612527, -0.1491119035287124 51.49890925968882_ -0.1491119035287124 51.499972094314_ -0.150818888854941 51.499972094314_ -0.150818888854941 51.49890925968882_ -0.1491119035287124 51.49890925968882
36,6.5911436, -0.1491119035287124 51.499972094314_ -0.1491119035287124 51.50103492893918_ -0.150818888854941 51.50103492893918_ -0.150818888854941 51.499972094314_ -0.1491119035287124 51.499972094314
37,5.8545065, -0.1491119035287124 51.50103492893918_ -0.1491119035287124 51.50209776356436_ -0.150818888854941 51.50209776356436_ -0.150818888854941 51.50103492893918_ -0.1491119035287124 51.50103492893918
38,6.22583, -0.1491119035287124 51.50209776356436_ -0.1491119035287124 51.50316059818953_ -0.150818888854941 51.50316059818953_ -0.150818888854941 51.50209776356436_ -0.1491119035287124 51.50209776356436
39,6.490836, -0.1491119035287124 51.50316059818953_ -0.1491119035287124 51.504223432814705_ -0.150818888854941 51.504223432814705_ -0.150818888854941 51.50316059818953_ -0.1491119035287124 51.50316059818953
40,5.9862156, -0.1491119035287124 51.504223432814705_ -0.1491119035287124 51.505286267439885_ -0.150818888854941 51.505286267439885_ -0.150818888854941 51.504223432814705_ -0.1491119035287124 51.504223432814705
41,6.584955, -0.1491119035287124 51.505286267439885_ -0.1491119035287124 51.50634910206506_ -0.150818888854941 51.50634910206506_ -0.150818888854941 51.505286267439885_ -0.1491119035287124 51.505286267439885
42,5.5046043, -0.1491119035287124 51.50634910206506_ -0.1491119035287124 51.50741193669024_ -0.150818888854941 51.50741193669024_ -0.150818888854941 51.50634910206506_ -0.1491119035287124 51.50634910206506
43,6.7490225, -0.1491119035287124 51.50741193669024_ -0.1491119035287124 51.50847477131541_ -0.150818888854941 51.50847477131541_ -0.150818888854941 51.50741193669024_ -0.1491119035287124 51.50741193669024
44,6.1604114, -0.1491119035287124 51.50847477131541_ -0.1491119035287124 51.509537605940594_ -0.150818888854941 51.509537605940594_ -0.150818888854941 51.50847477131541_ -0.1491119035287124 51.50847477131541
45,6.456045, -0.1491119035287124 51.509537605940594_ -0.1491119035287124 51.51060044056577_ -0.150818888854941 51.51060044056577_ -0.150818888854941 51.509537605940594_ -0.1491119035287124 51.509537605940594
46,5.314666, -0.1491119035287124 51.51060044056577_ -0.1491119035287124 51.51166327519095_ -0.150818888854941 51.51166327519095_ -0.150818888854941 51.51060044056577_ -0.1491119035287124 51.51060044056577
47,5.845373, -0.1491119035287124 51.51166327519095_ -0.1491119035287124 51.51272610981612_ -0.150818888854941 51.51272610981612_ -0.150818888854941 51.51166327519095_ -0.1491119035287124 51.51166327519095
48,5.9048977, -0.1491119035287124 51.51272610981612_ -0.1491119035287124 51.513788944441295_ -0.150818888854941 51.513788944441295_ -0.150818888854941 51.51272610981612_ -0.1491119035287124 51.51272610981612
49,6.159137, -0.1491119035287124 51.513788944441295_ -0.1491119035287124 51.514851779066476_ -0.150818888854941 51.514851779066476_ -0.150818888854941 51.513788944441295_ -0.1491119035287124 51.513788944441295
50,6.3239403, -0.1491119035287124 51.514851779066476_ -0.1491119035287124 51.51591461369165_ -0.150818888854941 51.51591461369165_ -0.150818888854941 51.514851779066476_ -0.1491119035287124 51.514851779066476
51,6.65315, -0.1491119035287124 51.51591461369165_ -0.1491119035287124 51.51697744831683_ -0.150818888854941 51.51697744831683_ -0.150818888854941 51.51591461369165_ -0.1491119035287124 51.51591461369165
52,6.4573, -0.1491119035287124 51.51697744831683_ -0.1491119035287124 51.518040282942_ -0.150818888854941 51.518040282942_ -0.150818888854941 51.51697744831683_ -0.1491119035287124 51.51697744831683
53,6.2265415, -0.1491119035287124 51.518040282942_ -0.1491119035287124 51.519103117567184_ -0.150818888854941 51.519103117567184_ -0.150818888854941 51.518040282942_ -0.1491119035287124 51.518040282942
54,6.4180956, -0.1491119035287124 51.519103117567184_ -0.1491119035287124 51.52016595219236_ -0.150818888854941 51.52016595219236_ -0.150818888854941 51.519103117567184_ -0.1491119035287124 51.519103117567184
