code,predicted_pm2.5,geometry
0,5.060509, -0.1248624678804757 51.46622874379285_ -0.1248624678804757 51.4678025566032_ -0.1273904944864519 51.4678025566032_ -0.1273904944864519 51.46622874379285_ -0.1248624678804757 51.46622874379285
1,4.953979, -0.1248624678804757 51.4678025566032_ -0.1248624678804757 51.46937636941356_ -0.1273904944864519 51.46937636941356_ -0.1273904944864519 51.4678025566032_ -0.1248624678804757 51.4678025566032
2,5.0301404, -0.1248624678804757 51.46937636941356_ -0.1248624678804757 51.47095018222392_ -0.1273904944864519 51.47095018222392_ -0.1273904944864519 51.46937636941356_ -0.1248624678804757 51.46937636941356
3,4.955911, -0.1248624678804757 51.47095018222392_ -0.1248624678804757 51.47252399503428_ -0.1273904944864519 51.47252399503428_ -0.1273904944864519 51.47095018222392_ -0.1248624678804757 51.47095018222392
4,5.081865, -0.1248624678804757 51.47252399503428_ -0.1248624678804757 51.474097807844636_ -0.1273904944864519 51.474097807844636_ -0.1273904944864519 51.47252399503428_ -0.1248624678804757 51.47252399503428
5,5.1061435, -0.1248624678804757 51.474097807844636_ -0.1248624678804757 51.47567162065499_ -0.1273904944864519 51.47567162065499_ -0.1273904944864519 51.474097807844636_ -0.1248624678804757 51.474097807844636
6,5.0183263, -0.1248624678804757 51.47567162065499_ -0.1248624678804757 51.47724543346535_ -0.1273904944864519 51.47724543346535_ -0.1273904944864519 51.47567162065499_ -0.1248624678804757 51.47567162065499
7,4.978555, -0.1248624678804757 51.47724543346535_ -0.1248624678804757 51.47881924627571_ -0.1273904944864519 51.47881924627571_ -0.1273904944864519 51.47724543346535_ -0.1248624678804757 51.47724543346535
8,5.0169096, -0.1248624678804757 51.47881924627571_ -0.1248624678804757 51.48039305908607_ -0.1273904944864519 51.48039305908607_ -0.1273904944864519 51.47881924627571_ -0.1248624678804757 51.47881924627571
9,5.1288342, -0.1248624678804757 51.48039305908607_ -0.1248624678804757 51.481966871896425_ -0.1273904944864519 51.481966871896425_ -0.1273904944864519 51.48039305908607_ -0.1248624678804757 51.48039305908607
10,5.0717645, -0.1248624678804757 51.481966871896425_ -0.1248624678804757 51.48354068470678_ -0.1273904944864519 51.48354068470678_ -0.1273904944864519 51.481966871896425_ -0.1248624678804757 51.481966871896425
11,4.9697948, -0.1248624678804757 51.48354068470678_ -0.1248624678804757 51.48511449751714_ -0.1273904944864519 51.48511449751714_ -0.1273904944864519 51.48354068470678_ -0.1248624678804757 51.48354068470678
12,4.895304, -0.1248624678804757 51.48511449751714_ -0.1248624678804757 51.4866883103275_ -0.1273904944864519 51.4866883103275_ -0.1273904944864519 51.48511449751714_ -0.1248624678804757 51.48511449751714
13,3.7774482, -0.1248624678804757 51.4866883103275_ -0.1248624678804757 51.48826212313786_ -0.1273904944864519 51.48826212313786_ -0.1273904944864519 51.4866883103275_ -0.1248624678804757 51.4866883103275
14,3.7776623, -0.1248624678804757 51.48826212313786_ -0.1248624678804757 51.489835935948214_ -0.1273904944864519 51.489835935948214_ -0.1273904944864519 51.48826212313786_ -0.1248624678804757 51.48826212313786
15,3.793017, -0.1248624678804757 51.489835935948214_ -0.1248624678804757 51.49140974875857_ -0.1273904944864519 51.49140974875857_ -0.1273904944864519 51.489835935948214_ -0.1248624678804757 51.489835935948214
16,3.7960505, -0.1248624678804757 51.49140974875857_ -0.1248624678804757 51.49298356156893_ -0.1273904944864519 51.49298356156893_ -0.1273904944864519 51.49140974875857_ -0.1248624678804757 51.49140974875857
17,3.7823167, -0.1248624678804757 51.49298356156893_ -0.1248624678804757 51.49455737437929_ -0.1273904944864519 51.49455737437929_ -0.1273904944864519 51.49298356156893_ -0.1248624678804757 51.49298356156893
