code,predicted_pm2.5,geometry
0,12, -0.1465312673602718 51.479718567881626_ -0.1465312673602718 51.48151721109346_ -0.1494204406242446 51.48151721109346_ -0.1494204406242446 51.479718567881626_ -0.1465312673602718 51.479718567881626
1,12, -0.1465312673602718 51.48151721109346_ -0.1465312673602718 51.4833158543053_ -0.1494204406242446 51.4833158543053_ -0.1494204406242446 51.48151721109346_ -0.1465312673602718 51.48151721109346
2,12, -0.1465312673602718 51.4833158543053_ -0.1465312673602718 51.48511449751714_ -0.1494204406242446 51.48511449751714_ -0.1494204406242446 51.4833158543053_ -0.1465312673602718 51.4833158543053
3,12, -0.1465312673602718 51.48511449751714_ -0.1465312673602718 51.48691314072898_ -0.1494204406242446 51.48691314072898_ -0.1494204406242446 51.48511449751714_ -0.1465312673602718 51.48511449751714
4,12, -0.1465312673602718 51.48691314072898_ -0.1465312673602718 51.488711783940815_ -0.1494204406242446 51.488711783940815_ -0.1494204406242446 51.48691314072898_ -0.1465312673602718 51.48691314072898
5,12, -0.1465312673602718 51.488711783940815_ -0.1465312673602718 51.49051042715265_ -0.1494204406242446 51.49051042715265_ -0.1494204406242446 51.488711783940815_ -0.1465312673602718 51.488711783940815
6,12, -0.1465312673602718 51.49051042715265_ -0.1465312673602718 51.49230907036449_ -0.1494204406242446 51.49230907036449_ -0.1494204406242446 51.49051042715265_ -0.1465312673602718 51.49051042715265
7,12, -0.1465312673602718 51.49230907036449_ -0.1465312673602718 51.49410771357633_ -0.1494204406242446 51.49410771357633_ -0.1494204406242446 51.49230907036449_ -0.1465312673602718 51.49230907036449
8,12, -0.1465312673602718 51.49410771357633_ -0.1465312673602718 51.49590635678817_ -0.1494204406242446 51.49590635678817_ -0.1494204406242446 51.49410771357633_ -0.1465312673602718 51.49410771357633
9,12, -0.1465312673602718 51.49590635678817_ -0.1465312673602718 51.497705_ -0.1494204406242446 51.497705_ -0.1494204406242446 51.49590635678817_ -0.1465312673602718 51.49590635678817
10,12, -0.1465312673602718 51.497705_ -0.1465312673602718 51.49950364321184_ -0.1494204406242446 51.49950364321184_ -0.1494204406242446 51.497705_ -0.1465312673602718 51.497705
11,12, -0.1465312673602718 51.49950364321184_ -0.1465312673602718 51.50130228642368_ -0.1494204406242446 51.50130228642368_ -0.1494204406242446 51.49950364321184_ -0.1465312673602718 51.49950364321184
12,12, -0.1465312673602718 51.50130228642368_ -0.1465312673602718 51.503100929635515_ -0.1494204406242446 51.503100929635515_ -0.1494204406242446 51.50130228642368_ -0.1465312673602718 51.50130228642368
13,12, -0.1465312673602718 51.503100929635515_ -0.1465312673602718 51.50489957284736_ -0.1494204406242446 51.50489957284736_ -0.1494204406242446 51.503100929635515_ -0.1465312673602718 51.503100929635515
14,12, -0.1465312673602718 51.50489957284736_ -0.1465312673602718 51.50669821605919_ -0.1494204406242446 51.50669821605919_ -0.1494204406242446 51.50489957284736_ -0.1465312673602718 51.50489957284736
