code,predicted_pm2.5,geometry
0,5, -0.1465312673602718 51.479718567881626_ -0.1465312673602718 51.48151721109346_ -0.1494204406242446 51.48151721109346_ -0.1494204406242446 51.479718567881626_ -0.1465312673602718 51.479718567881626
1,5, -0.1465312673602718 51.48151721109346_ -0.1465312673602718 51.4833158543053_ -0.1494204406242446 51.4833158543053_ -0.1494204406242446 51.48151721109346_ -0.1465312673602718 51.48151721109346
2,5, -0.1465312673602718 51.4833158543053_ -0.1465312673602718 51.48511449751714_ -0.1494204406242446 51.48511449751714_ -0.1494204406242446 51.4833158543053_ -0.1465312673602718 51.4833158543053
3,5, -0.1465312673602718 51.48511449751714_ -0.1465312673602718 51.48691314072898_ -0.1494204406242446 51.48691314072898_ -0.1494204406242446 51.48511449751714_ -0.1465312673602718 51.48511449751714
4,5, -0.1465312673602718 51.48691314072898_ -0.1465312673602718 51.488711783940815_ -0.1494204406242446 51.488711783940815_ -0.1494204406242446 51.48691314072898_ -0.1465312673602718 51.48691314072898
5,5, -0.1465312673602718 51.488711783940815_ -0.1465312673602718 51.49051042715265_ -0.1494204406242446 51.49051042715265_ -0.1494204406242446 51.488711783940815_ -0.1465312673602718 51.488711783940815
6,5, -0.1465312673602718 51.49051042715265_ -0.1465312673602718 51.49230907036449_ -0.1494204406242446 51.49230907036449_ -0.1494204406242446 51.49051042715265_ -0.1465312673602718 51.49051042715265
7,5, -0.1465312673602718 51.49230907036449_ -0.1465312673602718 51.49410771357633_ -0.1494204406242446 51.49410771357633_ -0.1494204406242446 51.49230907036449_ -0.1465312673602718 51.49230907036449
8,5, -0.1465312673602718 51.49410771357633_ -0.1465312673602718 51.49590635678817_ -0.1494204406242446 51.49590635678817_ -0.1494204406242446 51.49410771357633_ -0.1465312673602718 51.49410771357633
9,5, -0.1465312673602718 51.49590635678817_ -0.1465312673602718 51.497705_ -0.1494204406242446 51.497705_ -0.1494204406242446 51.49590635678817_ -0.1465312673602718 51.49590635678817
10,5, -0.1465312673602718 51.497705_ -0.1465312673602718 51.49950364321184_ -0.1494204406242446 51.49950364321184_ -0.1494204406242446 51.497705_ -0.1465312673602718 51.497705
11,5, -0.1465312673602718 51.49950364321184_ -0.1465312673602718 51.50130228642368_ -0.1494204406242446 51.50130228642368_ -0.1494204406242446 51.49950364321184_ -0.1465312673602718 51.49950364321184
12,5, -0.1465312673602718 51.50130228642368_ -0.1465312673602718 51.503100929635515_ -0.1494204406242446 51.503100929635515_ -0.1494204406242446 51.50130228642368_ -0.1465312673602718 51.50130228642368
13,5, -0.1465312673602718 51.503100929635515_ -0.1465312673602718 51.50489957284736_ -0.1494204406242446 51.50489957284736_ -0.1494204406242446 51.503100929635515_ -0.1465312673602718 51.503100929635515
14,5, -0.1465312673602718 51.50489957284736_ -0.1465312673602718 51.50669821605919_ -0.1494204406242446 51.50669821605919_ -0.1494204406242446 51.50489957284736_ -0.1465312673602718 51.50489957284736
15,5, -0.1465312673602718 51.50669821605919_ -0.1465312673602718 51.50849685927103_ -0.1494204406242446 51.50849685927103_ -0.1494204406242446 51.50669821605919_ -0.1465312673602718 51.50669821605919
16,5, -0.1465312673602718 51.50849685927103_ -0.1465312673602718 51.51029550248287_ -0.1494204406242446 51.51029550248287_ -0.1494204406242446 51.50849685927103_ -0.1465312673602718 51.50849685927103
17,5, -0.1465312673602718 51.51029550248287_ -0.1465312673602718 51.512094145694704_ -0.1494204406242446 51.512094145694704_ -0.1494204406242446 51.51029550248287_ -0.1465312673602718 51.51029550248287
18,5, -0.1465312673602718 51.512094145694704_ -0.1465312673602718 51.513892788906546_ -0.1494204406242446 51.513892788906546_ -0.1494204406242446 51.512094145694704_ -0.1465312673602718 51.512094145694704
19,5, -0.1465312673602718 51.513892788906546_ -0.1465312673602718 51.51569143211838_ -0.1494204406242446 51.51569143211838_ -0.1494204406242446 51.513892788906546_ -0.1465312673602718 51.513892788906546
20,5, -0.1494204406242446 51.479718567881626_ -0.1494204406242446 51.48151721109346_ -0.1523096138882174 51.48151721109346_ -0.1523096138882174 51.479718567881626_ -0.1494204406242446 51.479718567881626
21,5, -0.1494204406242446 51.48151721109346_ -0.1494204406242446 51.4833158543053_ -0.1523096138882174 51.4833158543053_ -0.1523096138882174 51.48151721109346_ -0.1494204406242446 51.48151721109346
22,5, -0.1494204406242446 51.4833158543053_ -0.1494204406242446 51.48511449751714_ -0.1523096138882174 51.48511449751714_ -0.1523096138882174 51.4833158543053_ -0.1494204406242446 51.4833158543053
