code,predicted_pm2.5,geometry
0,5.9319367, -0.1248624678804757 51.46622874379285_ -0.1248624678804757 51.4678025566032_ -0.1273904944864519 51.4678025566032_ -0.1273904944864519 51.46622874379285_ -0.1248624678804757 51.46622874379285
1,5.8174863, -0.1248624678804757 51.4678025566032_ -0.1248624678804757 51.46937636941356_ -0.1273904944864519 51.46937636941356_ -0.1273904944864519 51.4678025566032_ -0.1248624678804757 51.4678025566032
2,5.8604445, -0.1248624678804757 51.46937636941356_ -0.1248624678804757 51.47095018222392_ -0.1273904944864519 51.47095018222392_ -0.1273904944864519 51.46937636941356_ -0.1248624678804757 51.46937636941356
3,5.837631, -0.1248624678804757 51.47095018222392_ -0.1248624678804757 51.47252399503428_ -0.1273904944864519 51.47252399503428_ -0.1273904944864519 51.47095018222392_ -0.1248624678804757 51.47095018222392
4,5.9606137, -0.1248624678804757 51.47252399503428_ -0.1248624678804757 51.474097807844636_ -0.1273904944864519 51.474097807844636_ -0.1273904944864519 51.47252399503428_ -0.1248624678804757 51.47252399503428
5,5.9455357, -0.1248624678804757 51.474097807844636_ -0.1248624678804757 51.47567162065499_ -0.1273904944864519 51.47567162065499_ -0.1273904944864519 51.474097807844636_ -0.1248624678804757 51.474097807844636
6,5.862192, -0.1248624678804757 51.47567162065499_ -0.1248624678804757 51.47724543346535_ -0.1273904944864519 51.47724543346535_ -0.1273904944864519 51.47567162065499_ -0.1248624678804757 51.47567162065499
7,5.788089, -0.1248624678804757 51.47724543346535_ -0.1248624678804757 51.47881924627571_ -0.1273904944864519 51.47881924627571_ -0.1273904944864519 51.47724543346535_ -0.1248624678804757 51.47724543346535
8,5.837725, -0.1248624678804757 51.47881924627571_ -0.1248624678804757 51.48039305908607_ -0.1273904944864519 51.48039305908607_ -0.1273904944864519 51.47881924627571_ -0.1248624678804757 51.47881924627571
9,5.86532, -0.1248624678804757 51.48039305908607_ -0.1248624678804757 51.481966871896425_ -0.1273904944864519 51.481966871896425_ -0.1273904944864519 51.48039305908607_ -0.1248624678804757 51.48039305908607
10,5.81397, -0.1248624678804757 51.481966871896425_ -0.1248624678804757 51.48354068470678_ -0.1273904944864519 51.48354068470678_ -0.1273904944864519 51.481966871896425_ -0.1248624678804757 51.481966871896425
11,5.6715255, -0.1248624678804757 51.48354068470678_ -0.1248624678804757 51.48511449751714_ -0.1273904944864519 51.48511449751714_ -0.1273904944864519 51.48354068470678_ -0.1248624678804757 51.48354068470678
12,5.5984282, -0.1248624678804757 51.48511449751714_ -0.1248624678804757 51.4866883103275_ -0.1273904944864519 51.4866883103275_ -0.1273904944864519 51.48511449751714_ -0.1248624678804757 51.48511449751714
13,5.0988784, -0.1248624678804757 51.4866883103275_ -0.1248624678804757 51.48826212313786_ -0.1273904944864519 51.48826212313786_ -0.1273904944864519 51.4866883103275_ -0.1248624678804757 51.4866883103275
14,5.123158, -0.1248624678804757 51.48826212313786_ -0.1248624678804757 51.489835935948214_ -0.1273904944864519 51.489835935948214_ -0.1273904944864519 51.48826212313786_ -0.1248624678804757 51.48826212313786
15,5.1563387, -0.1248624678804757 51.489835935948214_ -0.1248624678804757 51.49140974875857_ -0.1273904944864519 51.49140974875857_ -0.1273904944864519 51.489835935948214_ -0.1248624678804757 51.489835935948214
16,5.1968703, -0.1248624678804757 51.49140974875857_ -0.1248624678804757 51.49298356156893_ -0.1273904944864519 51.49298356156893_ -0.1273904944864519 51.49140974875857_ -0.1248624678804757 51.49140974875857
17,5.206369, -0.1248624678804757 51.49298356156893_ -0.1248624678804757 51.49455737437929_ -0.1273904944864519 51.49455737437929_ -0.1273904944864519 51.49298356156893_ -0.1248624678804757 51.49298356156893
18,5.2079616, -0.1248624678804757 51.49455737437929_ -0.1248624678804757 51.49613118718965_ -0.1273904944864519 51.49613118718965_ -0.1273904944864519 51.49455737437929_ -0.1248624678804757 51.49455737437929
19,5.340924, -0.1248624678804757 51.49613118718965_ -0.1248624678804757 51.497705_ -0.1273904944864519 51.497705_ -0.1273904944864519 51.49613118718965_ -0.1248624678804757 51.49613118718965
20,5.343127, -0.1248624678804757 51.497705_ -0.1248624678804757 51.49927881281036_ -0.1273904944864519 51.49927881281036_ -0.1273904944864519 51.497705_ -0.1248624678804757 51.497705
21,5.3811097, -0.1248624678804757 51.49927881281036_ -0.1248624678804757 51.500852625620716_ -0.1273904944864519 51.500852625620716_ -0.1273904944864519 51.49927881281036_ -0.1248624678804757 51.49927881281036
22,5.344264, -0.1248624678804757 51.500852625620716_ -0.1248624678804757 51.50242643843108_ -0.1273904944864519 51.50242643843108_ -0.1273904944864519 51.500852625620716_ -0.1248624678804757 51.500852625620716
23,5.3722367, -0.1248624678804757 51.50242643843108_ -0.1248624678804757 51.504000251241436_ -0.1273904944864519 51.504000251241436_ -0.1273904944864519 51.50242643843108_ -0.1248624678804757 51.50242643843108
24,5.370261, -0.1248624678804757 51.504000251241436_ -0.1248624678804757 51.50557406405179_ -0.1273904944864519 51.50557406405179_ -0.1273904944864519 51.504000251241436_ -0.1248624678804757 51.504000251241436
25,5.390445, -0.1248624678804757 51.50557406405179_ -0.1248624678804757 51.50714787686215_ -0.1273904944864519 51.50714787686215_ -0.1273904944864519 51.50557406405179_ -0.1248624678804757 51.50557406405179
26,5.408418, -0.1248624678804757 51.50714787686215_ -0.1248624678804757 51.508721689672505_ -0.1273904944864519 51.508721689672505_ -0.1273904944864519 51.50714787686215_ -0.1248624678804757 51.50714787686215
27,5.3642325, -0.1248624678804757 51.508721689672505_ -0.1248624678804757 51.51029550248287_ -0.1273904944864519 51.51029550248287_ -0.1273904944864519 51.508721689672505_ -0.1248624678804757 51.508721689672505
28,5.3254275, -0.1248624678804757 51.51029550248287_ -0.1248624678804757 51.511869315293225_ -0.1273904944864519 51.511869315293225_ -0.1273904944864519 51.51029550248287_ -0.1248624678804757 51.51029550248287
29,5.211452, -0.1248624678804757 51.511869315293225_ -0.1248624678804757 51.51344312810358_ -0.1273904944864519 51.51344312810358_ -0.1273904944864519 51.511869315293225_ -0.1248624678804757 51.511869315293225
30,5.189489, -0.1248624678804757 51.51344312810358_ -0.1248624678804757 51.51501694091394_ -0.1273904944864519 51.51501694091394_ -0.1273904944864519 51.51344312810358_ -0.1248624678804757 51.51344312810358
31,5.2170005, -0.1248624678804757 51.51501694091394_ -0.1248624678804757 51.516590753724294_ -0.1273904944864519 51.516590753724294_ -0.1273904944864519 51.51501694091394_ -0.1248624678804757 51.51501694091394
32,5.2400584, -0.1248624678804757 51.516590753724294_ -0.1248624678804757 51.51816456653466_ -0.1273904944864519 51.51816456653466_ -0.1273904944864519 51.516590753724294_ -0.1248624678804757 51.516590753724294
33,5.2639613, -0.1248624678804757 51.51816456653466_ -0.1248624678804757 51.519738379345014_ -0.1273904944864519 51.519738379345014_ -0.1273904944864519 51.51816456653466_ -0.1248624678804757 51.51816456653466
34,5.284451, -0.1248624678804757 51.519738379345014_ -0.1248624678804757 51.52131219215537_ -0.1273904944864519 51.52131219215537_ -0.1273904944864519 51.519738379345014_ -0.1248624678804757 51.519738379345014
35,5.2648473, -0.1248624678804757 51.52131219215537_ -0.1248624678804757 51.52288600496573_ -0.1273904944864519 51.52288600496573_ -0.1273904944864519 51.52131219215537_ -0.1248624678804757 51.52131219215537
36,5.290356, -0.1248624678804757 51.52288600496573_ -0.1248624678804757 51.52445981777608_ -0.1273904944864519 51.52445981777608_ -0.1273904944864519 51.52288600496573_ -0.1248624678804757 51.52288600496573
37,5.270147, -0.1248624678804757 51.52445981777608_ -0.1248624678804757 51.52603363058645_ -0.1273904944864519 51.52603363058645_ -0.1273904944864519 51.52445981777608_ -0.1248624678804757 51.52445981777608
38,5.2596774, -0.1248624678804757 51.52603363058645_ -0.1248624678804757 51.5276074433968_ -0.1273904944864519 51.5276074433968_ -0.1273904944864519 51.52603363058645_ -0.1248624678804757 51.52603363058645
39,5.228131, -0.1248624678804757 51.5276074433968_ -0.1248624678804757 51.52918125620716_ -0.1273904944864519 51.52918125620716_ -0.1273904944864519 51.5276074433968_ -0.1248624678804757 51.5276074433968
40,5.866635, -0.1273904944864519 51.46622874379285_ -0.1273904944864519 51.4678025566032_ -0.1299185210924281 51.4678025566032_ -0.1299185210924281 51.46622874379285_ -0.1273904944864519 51.46622874379285
41,5.779081, -0.1273904944864519 51.4678025566032_ -0.1273904944864519 51.46937636941356_ -0.1299185210924281 51.46937636941356_ -0.1299185210924281 51.4678025566032_ -0.1273904944864519 51.4678025566032
42,5.823237, -0.1273904944864519 51.46937636941356_ -0.1273904944864519 51.47095018222392_ -0.1299185210924281 51.47095018222392_ -0.1299185210924281 51.46937636941356_ -0.1273904944864519 51.46937636941356
43,5.83114, -0.1273904944864519 51.47095018222392_ -0.1273904944864519 51.47252399503428_ -0.1299185210924281 51.47252399503428_ -0.1299185210924281 51.47095018222392_ -0.1273904944864519 51.47095018222392
44,5.934448, -0.1273904944864519 51.47252399503428_ -0.1273904944864519 51.474097807844636_ -0.1299185210924281 51.474097807844636_ -0.1299185210924281 51.47252399503428_ -0.1273904944864519 51.47252399503428
45,5.9325123, -0.1273904944864519 51.474097807844636_ -0.1273904944864519 51.47567162065499_ -0.1299185210924281 51.47567162065499_ -0.1299185210924281 51.474097807844636_ -0.1273904944864519 51.474097807844636
46,5.7865267, -0.1273904944864519 51.47567162065499_ -0.1273904944864519 51.47724543346535_ -0.1299185210924281 51.47724543346535_ -0.1299185210924281 51.47567162065499_ -0.1273904944864519 51.47567162065499
47,5.713805, -0.1273904944864519 51.47724543346535_ -0.1273904944864519 51.47881924627571_ -0.1299185210924281 51.47881924627571_ -0.1299185210924281 51.47724543346535_ -0.1273904944864519 51.47724543346535
48,5.924731, -0.1273904944864519 51.47881924627571_ -0.1273904944864519 51.48039305908607_ -0.1299185210924281 51.48039305908607_ -0.1299185210924281 51.47881924627571_ -0.1273904944864519 51.47881924627571
49,5.8091316, -0.1273904944864519 51.48039305908607_ -0.1273904944864519 51.481966871896425_ -0.1299185210924281 51.481966871896425_ -0.1299185210924281 51.48039305908607_ -0.1273904944864519 51.48039305908607
50,5.7985477, -0.1273904944864519 51.481966871896425_ -0.1273904944864519 51.48354068470678_ -0.1299185210924281 51.48354068470678_ -0.1299185210924281 51.481966871896425_ -0.1273904944864519 51.481966871896425
51,5.6554623, -0.1273904944864519 51.48354068470678_ -0.1273904944864519 51.48511449751714_ -0.1299185210924281 51.48511449751714_ -0.1299185210924281 51.48354068470678_ -0.1273904944864519 51.48354068470678
52,5.602304, -0.1273904944864519 51.48511449751714_ -0.1273904944864519 51.4866883103275_ -0.1299185210924281 51.4866883103275_ -0.1299185210924281 51.48511449751714_ -0.1273904944864519 51.48511449751714
53,5.0805483, -0.1273904944864519 51.4866883103275_ -0.1273904944864519 51.48826212313786_ -0.1299185210924281 51.48826212313786_ -0.1299185210924281 51.4866883103275_ -0.1273904944864519 51.4866883103275
54,5.1238923, -0.1273904944864519 51.48826212313786_ -0.1273904944864519 51.489835935948214_ -0.1299185210924281 51.489835935948214_ -0.1299185210924281 51.48826212313786_ -0.1273904944864519 51.48826212313786
55,5.1494927, -0.1273904944864519 51.489835935948214_ -0.1273904944864519 51.49140974875857_ -0.1299185210924281 51.49140974875857_ -0.1299185210924281 51.489835935948214_ -0.1273904944864519 51.489835935948214
56,5.1638637, -0.1273904944864519 51.49140974875857_ -0.1273904944864519 51.49298356156893_ -0.1299185210924281 51.49298356156893_ -0.1299185210924281 51.49140974875857_ -0.1273904944864519 51.49140974875857
57,5.194638, -0.1273904944864519 51.49298356156893_ -0.1273904944864519 51.49455737437929_ -0.1299185210924281 51.49455737437929_ -0.1299185210924281 51.49298356156893_ -0.1273904944864519 51.49298356156893
58,5.206464, -0.1273904944864519 51.49455737437929_ -0.1273904944864519 51.49613118718965_ -0.1299185210924281 51.49613118718965_ -0.1299185210924281 51.49455737437929_ -0.1273904944864519 51.49455737437929
59,5.2003627, -0.1273904944864519 51.49613118718965_ -0.1273904944864519 51.497705_ -0.1299185210924281 51.497705_ -0.1299185210924281 51.49613118718965_ -0.1273904944864519 51.49613118718965
60,5.3643327, -0.1273904944864519 51.497705_ -0.1273904944864519 51.49927881281036_ -0.1299185210924281 51.49927881281036_ -0.1299185210924281 51.497705_ -0.1273904944864519 51.497705
61,5.385269, -0.1273904944864519 51.49927881281036_ -0.1273904944864519 51.500852625620716_ -0.1299185210924281 51.500852625620716_ -0.1299185210924281 51.49927881281036_ -0.1273904944864519 51.49927881281036
62,5.3774753, -0.1273904944864519 51.500852625620716_ -0.1273904944864519 51.50242643843108_ -0.1299185210924281 51.50242643843108_ -0.1299185210924281 51.500852625620716_ -0.1273904944864519 51.500852625620716
63,5.407759, -0.1273904944864519 51.50242643843108_ -0.1273904944864519 51.504000251241436_ -0.1299185210924281 51.504000251241436_ -0.1299185210924281 51.50242643843108_ -0.1273904944864519 51.50242643843108
64,5.3774457, -0.1273904944864519 51.504000251241436_ -0.1273904944864519 51.50557406405179_ -0.1299185210924281 51.50557406405179_ -0.1299185210924281 51.504000251241436_ -0.1273904944864519 51.504000251241436
65,5.3988614, -0.1273904944864519 51.50557406405179_ -0.1273904944864519 51.50714787686215_ -0.1299185210924281 51.50714787686215_ -0.1299185210924281 51.50557406405179_ -0.1273904944864519 51.50557406405179
