code,geometry
0, -0.1491119035287124 51.46171004780764_ -0.1491119035287124 51.46268431288072_ -0.1506766400777553 51.46268431288072_ -0.1506766400777553 51.46171004780764_ -0.1491119035287124 51.46171004780764
1, -0.1491119035287124 51.46268431288072_ -0.1491119035287124 51.4636585779538_ -0.1506766400777553 51.4636585779538_ -0.1506766400777553 51.46268431288072_ -0.1491119035287124 51.46268431288072
2, -0.1491119035287124 51.4636585779538_ -0.1491119035287124 51.46463284302688_ -0.1506766400777553 51.46463284302688_ -0.1506766400777553 51.4636585779538_ -0.1491119035287124 51.4636585779538
3, -0.1491119035287124 51.46463284302688_ -0.1491119035287124 51.46560710809996_ -0.1506766400777553 51.46560710809996_ -0.1506766400777553 51.46463284302688_ -0.1491119035287124 51.46463284302688
4, -0.1491119035287124 51.46560710809996_ -0.1491119035287124 51.466581373173035_ -0.1506766400777553 51.466581373173035_ -0.1506766400777553 51.46560710809996_ -0.1491119035287124 51.46560710809996
5, -0.1491119035287124 51.466581373173035_ -0.1491119035287124 51.46755563824611_ -0.1506766400777553 51.46755563824611_ -0.1506766400777553 51.466581373173035_ -0.1491119035287124 51.466581373173035
6, -0.1491119035287124 51.46755563824611_ -0.1491119035287124 51.468529903319194_ -0.1506766400777553 51.468529903319194_ -0.1506766400777553 51.46755563824611_ -0.1491119035287124 51.46755563824611
7, -0.1491119035287124 51.468529903319194_ -0.1491119035287124 51.46950416839227_ -0.1506766400777553 51.46950416839227_ -0.1506766400777553 51.468529903319194_ -0.1491119035287124 51.468529903319194
8, -0.1491119035287124 51.46950416839227_ -0.1491119035287124 51.47047843346535_ -0.1506766400777553 51.47047843346535_ -0.1506766400777553 51.46950416839227_ -0.1491119035287124 51.46950416839227
9, -0.1491119035287124 51.47047843346535_ -0.1491119035287124 51.47145269853843_ -0.1506766400777553 51.47145269853843_ -0.1506766400777553 51.47047843346535_ -0.1491119035287124 51.47047843346535
10, -0.1491119035287124 51.47145269853843_ -0.1491119035287124 51.472426963611504_ -0.1506766400777553 51.472426963611504_ -0.1506766400777553 51.47145269853843_ -0.1491119035287124 51.47145269853843
11, -0.1491119035287124 51.472426963611504_ -0.1491119035287124 51.47340122868459_ -0.1506766400777553 51.47340122868459_ -0.1506766400777553 51.472426963611504_ -0.1491119035287124 51.472426963611504
12, -0.1491119035287124 51.47340122868459_ -0.1491119035287124 51.47437549375766_ -0.1506766400777553 51.47437549375766_ -0.1506766400777553 51.47340122868459_ -0.1491119035287124 51.47340122868459
13, -0.1491119035287124 51.47437549375766_ -0.1491119035287124 51.475349758830745_ -0.1506766400777553 51.475349758830745_ -0.1506766400777553 51.47437549375766_ -0.1491119035287124 51.47437549375766
14, -0.1491119035287124 51.475349758830745_ -0.1491119035287124 51.47632402390382_ -0.1506766400777553 51.47632402390382_ -0.1506766400777553 51.475349758830745_ -0.1491119035287124 51.475349758830745
15, -0.1491119035287124 51.47632402390382_ -0.1491119035287124 51.4772982889769_ -0.1506766400777553 51.4772982889769_ -0.1506766400777553 51.47632402390382_ -0.1491119035287124 51.47632402390382
16, -0.1491119035287124 51.4772982889769_ -0.1491119035287124 51.47827255404998_ -0.1506766400777553 51.47827255404998_ -0.1506766400777553 51.4772982889769_ -0.1491119035287124 51.4772982889769
17, -0.1491119035287124 51.47827255404998_ -0.1491119035287124 51.479246819123055_ -0.1506766400777553 51.479246819123055_ -0.1506766400777553 51.47827255404998_ -0.1491119035287124 51.47827255404998
18, -0.1491119035287124 51.479246819123055_ -0.1491119035287124 51.48022108419614_ -0.1506766400777553 51.48022108419614_ -0.1506766400777553 51.479246819123055_ -0.1491119035287124 51.479246819123055
19, -0.1491119035287124 51.48022108419614_ -0.1491119035287124 51.481195349269214_ -0.1506766400777553 51.481195349269214_ -0.1506766400777553 51.48022108419614_ -0.1491119035287124 51.48022108419614
20, -0.1491119035287124 51.481195349269214_ -0.1491119035287124 51.48216961434229_ -0.1506766400777553 51.48216961434229_ -0.1506766400777553 51.481195349269214_ -0.1491119035287124 51.481195349269214
21, -0.1491119035287124 51.48216961434229_ -0.1491119035287124 51.48314387941537_ -0.1506766400777553 51.48314387941537_ -0.1506766400777553 51.48216961434229_ -0.1491119035287124 51.48216961434229
22, -0.1491119035287124 51.48314387941537_ -0.1491119035287124 51.48411814448845_ -0.1506766400777553 51.48411814448845_ -0.1506766400777553 51.48314387941537_ -0.1491119035287124 51.48314387941537
23, -0.1491119035287124 51.48411814448845_ -0.1491119035287124 51.48509240956153_ -0.1506766400777553 51.48509240956153_ -0.1506766400777553 51.48411814448845_ -0.1491119035287124 51.48411814448845
24, -0.1491119035287124 51.48509240956153_ -0.1491119035287124 51.48606667463461_ -0.1506766400777553 51.48606667463461_ -0.1506766400777553 51.48509240956153_ -0.1491119035287124 51.48509240956153
25, -0.1491119035287124 51.48606667463461_ -0.1491119035287124 51.48704093970768_ -0.1506766400777553 51.48704093970768_ -0.1506766400777553 51.48606667463461_ -0.1491119035287124 51.48606667463461
26, -0.1491119035287124 51.48704093970768_ -0.1491119035287124 51.488015204780766_ -0.1506766400777553 51.488015204780766_ -0.1506766400777553 51.48704093970768_ -0.1491119035287124 51.48704093970768
27, -0.1491119035287124 51.488015204780766_ -0.1491119035287124 51.48898946985384_ -0.1506766400777553 51.48898946985384_ -0.1506766400777553 51.488015204780766_ -0.1491119035287124 51.488015204780766
28, -0.1491119035287124 51.48898946985384_ -0.1491119035287124 51.489963734926924_ -0.1506766400777553 51.489963734926924_ -0.1506766400777553 51.48898946985384_ -0.1491119035287124 51.48898946985384
29, -0.1491119035287124 51.489963734926924_ -0.1491119035287124 51.490938_ -0.1506766400777553 51.490938_ -0.1506766400777553 51.489963734926924_ -0.1491119035287124 51.489963734926924
30, -0.1491119035287124 51.490938_ -0.1491119035287124 51.491912265073076_ -0.1506766400777553 51.491912265073076_ -0.1506766400777553 51.490938_ -0.1491119035287124 51.490938
31, -0.1491119035287124 51.491912265073076_ -0.1491119035287124 51.49288653014616_ -0.1506766400777553 51.49288653014616_ -0.1506766400777553 51.491912265073076_ -0.1491119035287124 51.491912265073076
32, -0.1491119035287124 51.49288653014616_ -0.1491119035287124 51.493860795219234_ -0.1506766400777553 51.493860795219234_ -0.1506766400777553 51.49288653014616_ -0.1491119035287124 51.49288653014616
33, -0.1491119035287124 51.493860795219234_ -0.1491119035287124 51.49483506029232_ -0.1506766400777553 51.49483506029232_ -0.1506766400777553 51.493860795219234_ -0.1491119035287124 51.493860795219234
34, -0.1491119035287124 51.49483506029232_ -0.1491119035287124 51.49580932536539_ -0.1506766400777553 51.49580932536539_ -0.1506766400777553 51.49483506029232_ -0.1491119035287124 51.49483506029232
35, -0.1491119035287124 51.49580932536539_ -0.1491119035287124 51.49678359043847_ -0.1506766400777553 51.49678359043847_ -0.1506766400777553 51.49580932536539_ -0.1491119035287124 51.49580932536539
36, -0.1491119035287124 51.49678359043847_ -0.1491119035287124 51.49775785551155_ -0.1506766400777553 51.49775785551155_ -0.1506766400777553 51.49678359043847_ -0.1491119035287124 51.49678359043847
37, -0.1491119035287124 51.49775785551155_ -0.1491119035287124 51.49873212058463_ -0.1506766400777553 51.49873212058463_ -0.1506766400777553 51.49775785551155_ -0.1491119035287124 51.49775785551155
38, -0.1491119035287124 51.49873212058463_ -0.1491119035287124 51.49970638565771_ -0.1506766400777553 51.49970638565771_ -0.1506766400777553 51.49873212058463_ -0.1491119035287124 51.49873212058463
39, -0.1491119035287124 51.49970638565771_ -0.1491119035287124 51.500680650730786_ -0.1506766400777553 51.500680650730786_ -0.1506766400777553 51.49970638565771_ -0.1491119035287124 51.49970638565771
40, -0.1491119035287124 51.500680650730786_ -0.1491119035287124 51.50165491580386_ -0.1506766400777553 51.50165491580386_ -0.1506766400777553 51.500680650730786_ -0.1491119035287124 51.500680650730786
41, -0.1491119035287124 51.50165491580386_ -0.1491119035287124 51.502629180876944_ -0.1506766400777553 51.502629180876944_ -0.1506766400777553 51.50165491580386_ -0.1491119035287124 51.50165491580386
42, -0.1491119035287124 51.502629180876944_ -0.1491119035287124 51.50360344595002_ -0.1506766400777553 51.50360344595002_ -0.1506766400777553 51.502629180876944_ -0.1491119035287124 51.502629180876944
43, -0.1491119035287124 51.50360344595002_ -0.1491119035287124 51.5045777110231_ -0.1506766400777553 51.5045777110231_ -0.1506766400777553 51.50360344595002_ -0.1491119035287124 51.50360344595002
44, -0.1491119035287124 51.5045777110231_ -0.1491119035287124 51.50555197609618_ -0.1506766400777553 51.50555197609618_ -0.1506766400777553 51.5045777110231_ -0.1491119035287124 51.5045777110231
45, -0.1491119035287124 51.50555197609618_ -0.1491119035287124 51.506526241169254_ -0.1506766400777553 51.506526241169254_ -0.1506766400777553 51.50555197609618_ -0.1491119035287124 51.50555197609618
46, -0.1491119035287124 51.506526241169254_ -0.1491119035287124 51.50750050624234_ -0.1506766400777553 51.50750050624234_ -0.1506766400777553 51.506526241169254_ -0.1491119035287124 51.506526241169254
47, -0.1491119035287124 51.50750050624234_ -0.1491119035287124 51.50847477131541_ -0.1506766400777553 51.50847477131541_ -0.1506766400777553 51.50750050624234_ -0.1491119035287124 51.50750050624234
48, -0.1491119035287124 51.50847477131541_ -0.1491119035287124 51.509449036388496_ -0.1506766400777553 51.509449036388496_ -0.1506766400777553 51.50847477131541_ -0.1491119035287124 51.50847477131541
49, -0.1491119035287124 51.509449036388496_ -0.1491119035287124 51.51042330146157_ -0.1506766400777553 51.51042330146157_ -0.1506766400777553 51.509449036388496_ -0.1491119035287124 51.509449036388496
50, -0.1491119035287124 51.51042330146157_ -0.1491119035287124 51.51139756653465_ -0.1506766400777553 51.51139756653465_ -0.1506766400777553 51.51042330146157_ -0.1491119035287124 51.51042330146157
51, -0.1491119035287124 51.51139756653465_ -0.1491119035287124 51.51237183160773_ -0.1506766400777553 51.51237183160773_ -0.1506766400777553 51.51139756653465_ -0.1491119035287124 51.51139756653465
