source,target,length
0_,1_,19.391
0_,2_,63.845
0_,2_,102.544
1_,185_,77.277
1_,0_,19.391
2_,0_,63.845
2_,4153_,13.157
185_,186_,13.666
185_,1_,77.277
185_,1_,112.16900000000001
4153_,2_,13.157
4153_,5987_,143.639
3_,4_,50.84545937439711
3_,7_,70.39305786598443
4_,8739_,192.352
4_,3_,51.080498808851175
4_,1083_,244.54700000000003
4_,8703_,401.395
7_,3_,70.05190120978182
7_,8745_,78.67557546579651
8739_,4_,192.35199999999998
8739_,7113_,73.578
1083_,1084_,50.08681790395683
1083_,4_,244.547
1083_,1085_,72.981
8703_,4_,401.395
8703_,8115_,18.475
547_,3921_,71.021
547_,544_,170.342
8745_,1190_,15.915
8745_,532_,21.331
8_,9_,12.34
8_,10_,80.861
9_,8_,12.34
9_,3297_,27.508
9_,7920_,86.76100000000001
10_,7347_,30.797
10_,8_,80.861
10_,7920_,13.73
3297_,9_,27.508
3297_,3298_,152.749
7920_,10_,13.73
7920_,9_,86.761
7347_,10_,30.797
7347_,7348_,36.332
11_,12_,12.120000000000001
11_,13_,140.218
12_,8306_,13.792
12_,11_,12.120000000000001
12_,1980_,141.29099999999997
13_,1194_,11.619
13_,5984_,42.268
13_,11_,140.21800000000002
8306_,4034_,82.971
1980_,1979_,12.153
1980_,12_,141.291
1980_,13_,193.62900000000005
1194_,13_,11.619
1194_,1979_,193.833
1194_,1201_,19.981615682604783
5984_,535_,176.02100000000002
5984_,534_,35.11
14_,16_,123.773
14_,17_,38.025790617658984
14_,18_,42.841160509924585
16_,3925_,39.806
16_,14_,123.773
16_,8501_,47.036
17_,14_,38.025790617658984
17_,4034_,57.6633721319657
18_,1826_,101.22238308307207
18_,1828_,14.377962928038517
3925_,228_,62.102
3925_,16_,39.806
8501_,1831_,57.966
4034_,4035_,14.084
4034_,17_,57.663372131965694
4034_,4036_,125.09700000000001
1826_,18_,101.22238308307209
1826_,1827_,35.34
1828_,8624_,12.613
1828_,18_,16.04906105239726
19_,20_,57.382
19_,21_,141.60500000000002
20_,7288_,38.113
20_,7289_,35.035000000000004
21_,37_,55.138999999999996
7288_,40_,67.4
7288_,4076_,50.498187336669254
7289_,7291_,16.302
7289_,20_,35.035
37_,29_,142.734
37_,34_,53.088
22_,23_,54.123999999999995
22_,19_,124.848
22_,24_,57.086000000000006
23_,29_,124.92
23_,22_,54.123999999999995
23_,25_,53.782000000000004
24_,3922_,39.352
24_,3923_,41.787
24_,22_,57.086
29_,23_,124.92
29_,19_,53.988
29_,37_,142.734
25_,23_,53.782000000000004
25_,26_,198.93200000000002
25_,27_,50.144
3922_,24_,39.352
3922_,8800_,17.913
3923_,24_,41.787
3923_,8801_,38.802
3923_,4035_,63.770999999999994
26_,532_,46.883
26_,1191_,18.024
27_,3156_,25.836
27_,4033_,165.96173390691078
27_,25_,50.144000000000005
532_,533_,49.193
1191_,8798_,12.741
3156_,27_,25.836
3156_,7766_,91.004
3156_,3155_,83.98100000000001
4033_,533_,21.437187984105712
4033_,3158_,26.6333506618226
4033_,27_,165.96173390691078
28_,29_,55.305
28_,25_,124.322
30_,31_,13.882
30_,32_,53.44223289525263
30_,33_,87.14087157507505
31_,30_,13.882
31_,44_,139.141
32_,7542_,29.016204459224582
33_,30_,87.14087157507504
33_,8317_,64.5888440720615
44_,45_,24.797
44_,31_,139.141
7542_,7767_,27.835
7542_,8326_,21.793
8317_,537_,12.902000000000001
8317_,536_,19.593
34_,28_,141.64999999999998
561_,562_,67.902
561_,563_,109.534
38_,39_,48.583
38_,40_,139.779
39_,8305_,65.762
39_,4075_,17.727
40_,4036_,13.515
40_,4035_,125.13499999999999
8305_,39_,65.762
8305_,8304_,49.89016156031641
8305_,8489_,48.053
4075_,4076_,88.93824657515405
4075_,4077_,28.655
4036_,16_,93.5
4036_,229_,139.69299999999998
4035_,4034_,14.084
4035_,8277_,83.348
4035_,3923_,63.771
41_,42_,121.96199999999999
41_,43_,48.727000000000004
42_,46_,18.883
42_,7277_,55.409000000000006
43_,228_,37.839
43_,229_,93.593
46_,47_,48.559
46_,48_,72.038
46_,42_,18.883
7277_,8413_,42.27
7277_,7492_,31.141000000000002
228_,3925_,62.102
228_,43_,37.839
229_,38_,13.667
229_,4037_,65.144
45_,44_,24.797
45_,8322_,23.996744523068493
8322_,8327_,24.80259246963819
8322_,8276_,19.651570041618033
8322_,8409_,47.037944106640936
47_,4045_,11.492
48_,277_,37.426
48_,46_,72.038
4045_,280_,35.196
4045_,3116_,71.17
277_,272_,96.218
277_,48_,37.426
277_,278_,40.172000000000004
49_,50_,61.345
50_,4053_,40.833
50_,49_,61.345
50_,558_,84.04599999999999
50_,8391_,106.524
4053_,8408_,109.944
4053_,50_,40.833
558_,8327_,30.478
558_,50_,84.04599999999999
8391_,50_,106.524
8391_,8392_,32.671
8391_,4201_,83.82199999999999
8331_,4055_,67.45883088563693
8331_,8156_,42.63684078724812
52_,53_,91.81400000000001
52_,54_,53.288
53_,49_,35.381
54_,549_,34.14483397299607
54_,58_,84.37899999999999
54_,52_,53.288
549_,548_,45.753247542867456
549_,54_,34.14483397299607
58_,554_,79.258
58_,54_,84.37899999999999
58_,55_,48.194
55_,56_,52.205
55_,57_,79.87799999999999
55_,58_,48.194
55_,59_,152.40800000000002
56_,7943_,31.853
56_,7948_,48.354
56_,4054_,74.244
56_,55_,52.205
57_,554_,48.443
57_,4073_,98.328
57_,60_,153.15400000000002
57_,55_,79.878
59_,64_,79.207
59_,65_,57.498
59_,55_,152.40800000000002
59_,66_,44.63687469299646
7943_,56_,31.853
7943_,7944_,16.632
7943_,7941_,24.772662079045393
7948_,56_,48.354
7948_,7940_,12.861
4054_,3977_,106.701
4054_,4055_,55.241212598676
4054_,56_,74.244
554_,58_,79.258
554_,550_,35.724
554_,62_,152.432
554_,57_,48.443
4073_,1418_,155.8998696766818
4073_,64_,52.896
4073_,57_,98.328
60_,61_,39.717
60_,62_,45.263000000000005
60_,63_,96.859
60_,57_,153.15399999999997
64_,4073_,52.896
64_,68_,153.025
64_,59_,79.207
65_,7939_,41.85
65_,7946_,17.781
65_,59_,57.498000000000005
66_,59_,44.63687469299646
66_,75_,31.02917885662732
66_,1419_,234.05414034687468
61_,7203_,35.484
61_,60_,39.717
61_,889_,98.54894047059013
62_,553_,34.891
62_,554_,152.432
62_,541_,98.981
62_,60_,45.263
63_,541_,44.382000000000005
63_,60_,96.859
63_,888_,70.896
63_,889_,42.49299515030435
7203_,61_,35.484
7203_,1418_,27.588591865239568
889_,63_,42.49299515030435
889_,61_,98.54894047059013
889_,7788_,33.92879261592184
553_,540_,65.965
553_,62_,34.891
553_,555_,23.208
541_,62_,98.981
541_,539_,30.805
541_,63_,44.382
888_,890_,75.219
888_,63_,70.896
888_,891_,69.295
68_,1418_,48.11289672898529
68_,1419_,41.419000000000004
68_,67_,95.058
68_,64_,153.02499999999998
7939_,7940_,48.805
7939_,65_,41.85
7946_,65_,17.781
7946_,7947_,54.044000000000004
75_,66_,31.02917885662732
75_,72_,31.08
1419_,3974_,14.611
1419_,66_,234.0541403468747
1419_,68_,41.419000000000004
67_,68_,95.05799999999999
67_,69_,55.493
67_,70_,48.222613227224954
67_,71_,69.25
69_,7204_,33.135982638638964
69_,3974_,95.295
