source,target,length
0_,1_,13.882
0_,2_,53.44223289630527
1_,0_,13.882
1_,3_,139.141
2_,6884_,29.016204458171938
3_,4_,24.797
3_,1_,139.141
6884_,7993_,27.835
6884_,7992_,21.793
4_,3_,24.797
4_,7988_,23.996744523068493
7988_,7994_,24.80259246963819
7988_,7939_,19.651570041618033
7988_,8050_,47.03794410474655
5_,6_,61.345
5_,7_,53.875
6_,3376_,40.833
6_,5_,61.345
6_,174_,84.04599999999999
6_,8036_,106.524
7_,7998_,59.998000000000005
3376_,8048_,109.944
3376_,6_,40.833
174_,7994_,30.478
174_,6_,84.04599999999999
8036_,3440_,41.87
8036_,6_,106.524
8036_,8037_,32.671
8036_,3445_,83.82199999999999
7998_,3378_,67.45883088676757
7998_,7764_,42.63684078801427
8_,9_,91.81400000000001
8_,10_,53.288
9_,5_,35.381
10_,165_,35.414701269233156
10_,14_,84.37899999999999
10_,8_,53.288
165_,164_,48.28658253353041
165_,8043_,41.083807764139806
165_,10_,35.414701269233156
14_,170_,79.258
14_,10_,84.37899999999999
14_,11_,48.194
11_,12_,52.205
11_,13_,79.87799999999999
11_,14_,48.194
11_,15_,152.40800000000002
12_,7351_,31.853
12_,7358_,48.354
12_,3377_,74.244
12_,11_,52.205
13_,170_,48.443
13_,3390_,98.328
13_,16_,153.15400000000002
13_,11_,79.878
15_,19_,79.207
15_,20_,57.498
15_,11_,152.40800000000002
15_,21_,44.63687469299646
7351_,12_,31.853
7351_,7352_,16.632
7351_,7349_,24.77266207911819
7358_,12_,48.354
7358_,7347_,17.886439139027996
7358_,7359_,52.233000000000004
3377_,3330_,106.701
3377_,3378_,55.24121259754534
3377_,12_,74.244
170_,14_,79.258
170_,166_,35.724
170_,18_,152.432
170_,13_,48.443
3390_,733_,155.8998696766818
3390_,19_,52.896
3390_,13_,98.328
16_,17_,39.717
16_,18_,45.263000000000005
16_,13_,153.15399999999997
19_,3390_,52.896
19_,23_,153.025
19_,15_,79.207
20_,7345_,41.85
20_,7355_,17.781
20_,15_,57.498000000000005
21_,7256_,33.85840498214706
21_,15_,44.63687469299646
21_,29_,31.02917885662732
21_,734_,234.05414034687468
17_,6479_,35.484
17_,16_,39.717
18_,169_,34.891
18_,170_,152.432
18_,16_,45.263
6479_,17_,35.484
6479_,733_,27.588591865239568
169_,18_,34.891
169_,171_,23.208
23_,733_,48.11289672898529
23_,734_,41.419000000000004
23_,22_,95.058
23_,19_,153.02499999999998
7345_,7346_,33.363
7345_,7347_,53.94076627572825
7345_,20_,41.85
7355_,7356_,13.619
7355_,20_,17.781
7355_,7357_,54.044000000000004
7256_,21_,33.85840498214706
7256_,8811_,50.24873925194268
29_,21_,31.02917885662732
29_,26_,31.08
734_,3327_,14.611
734_,21_,234.0541403468747
734_,23_,41.419000000000004
22_,23_,95.05799999999999
22_,24_,55.493
22_,25_,48.222613227224954
24_,6480_,33.135982641377126
24_,3327_,95.295
24_,730_,50.388999999999996
24_,22_,55.493
25_,733_,101.4790215402954
25_,22_,48.222613227224954
25_,7114_,27.83817095615008
733_,25_,101.4790215402954
733_,23_,48.112896728985284
733_,6479_,27.588591865239568
733_,3390_,155.8998696766818
6480_,24_,33.135982641377126
6480_,7116_,22.139182252180937
6480_,8392_,17.74042460917314
3327_,24_,95.295
3327_,734_,14.611
3327_,727_,23.696
730_,731_,36.298
730_,24_,50.388999999999996
730_,732_,101.68299999999999
7114_,25_,27.83817095615008
7114_,6479_,95.872
26_,27_,231.56900000000002
26_,28_,129.89516438196105
26_,29_,31.08
26_,30_,32.781
27_,727_,27.186
27_,728_,34.551
27_,729_,35.739000000000004
28_,26_,129.89516438196108
28_,32_,104.80603673922835
28_,6752_,52.02104659560249
28_,6458_,51.56776949623896
30_,8012_,42.802
30_,8016_,108.32
30_,26_,32.781000000000006
30_,8015_,48.592
727_,3327_,23.696
727_,27_,27.186
727_,29_,231.08599999999998
728_,6461_,100.173
728_,27_,34.551
728_,6462_,49.074
729_,731_,23.38
729_,8017_,70.34
729_,27_,35.739000000000004
32_,6564_,30.322
32_,6751_,39.208
32_,31_,98.50800000000001
32_,28_,104.80603673922835
6752_,6753_,33.496
6752_,40_,58.183
6458_,6457_,53.078
6458_,28_,51.56776949623896
6458_,6459_,24.705
8012_,30_,42.802
8012_,8013_,39.029
8012_,8011_,60.285
8016_,30_,108.32
8015_,30_,48.592
8015_,8014_,21.079
31_,32_,98.50800000000001
31_,33_,50.702
31_,34_,39.968
33_,4711_,89.732
33_,6750_,62.60237579531558
33_,31_,50.702
34_,37_,24.891
34_,6751_,97.481
34_,31_,39.968
6564_,6565_,27.732
6564_,706_,87.507
6564_,32_,30.322
6751_,34_,97.481
6751_,8019_,73.18100000000001
6751_,32_,39.208
6751_,8014_,86.545
4711_,31_,54.101
4711_,6566_,34.461
6750_,4714_,59.37588970281927
6750_,33_,62.60237579531558
6750_,736_,38.62174493074165
6750_,8660_,43.44581248279375
37_,6569_,60.922841410315826
37_,34_,24.891
37_,35_,61.627
35_,36_,72.96799999999999
35_,37_,61.627
35_,38_,26.128
35_,39_,48.922
36_,3389_,48.474
36_,312_,98.069
36_,35_,72.96799999999999
38_,3385_,17.73
38_,3386_,46.726
38_,35_,26.128
39_,3387_,82.129
39_,3388_,140.779
39_,3389_,71.882
39_,35_,48.922
3389_,5082_,62.567
3389_,5084_,115.598
3389_,36_,48.474
3389_,39_,71.882
312_,309_,60.388
312_,5080_,50.91623570501472
312_,36_,98.069
6569_,37_,60.922841410315826
6569_,6570_,41.17789656051752
3385_,310_,214.75
3386_,8014_,22.195
3386_,3384_,231.278
3386_,38_,46.726
3387_,39_,82.129
3387_,6474_,33.605000000000004
3387_,5084_,77.61800000000001
3387_,6475_,42.473
3388_,6750_,29.745359077719876
40_,41_,49.664
40_,42_,17.165
41_,40_,49.664
41_,6457_,55.57
41_,3328_,56.556
42_,68_,87.928
42_,40_,17.165
42_,69_,51.89710478529675
6457_,6458_,53.078
6457_,41_,55.57
6457_,6460_,50.438
3328_,41_,56.556
3328_,3329_,53.662
3328_,3330_,151.17
3328_,3331_,58.643373514359126
68_,706_,28.834
68_,707_,42.82
68_,708_,100.208
68_,42_,87.928
69_,42_,51.89710478529675
69_,707_,88.62439908068725
69_,3454_,68.21117663880908
69_,316_,92.08834461782446
43_,44_,42.981
43_,45_,79.047
43_,46_,59.077
43_,47_,46.876
44_,72_,36.312
44_,43_,42.981
44_,4729_,116.272
45_,6851_,53.026
45_,43_,79.047
45_,6852_,113.98800000000001
46_,2986_,18.511
46_,8171_,18.349538648158987
46_,43_,59.077
47_,740_,99.16038018243704
47_,6870_,21.605
47_,43_,46.876
72_,73_,17.552
72_,44_,36.312
72_,74_,20.49
4729_,44_,116.27199999999999
6851_,45_,53.026
6851_,9068_,11.317
6851_,6888_,47.586
6852_,45_,113.98800000000001
2986_,46_,18.511
2986_,2984_,44.51200000000001
8171_,46_,18.349538648158987
8171_,8173_,22.86629447568555
740_,4713_,36.51529870718051
740_,737_,66.47927611296524
740_,47_,99.16038018243704
740_,6597_,102.25846054482587
6870_,6871_,25.339
6870_,739_,48.24199704383615
6870_,47_,21.605
48_,49_,29.582781828429408
48_,50_,55.92157570626032
49_,1367_,27.196617724336352
49_,1367_,19.839471716389045
49_,6801_,40.225462299998135
49_,1366_,18.63858716454923
50_,48_,55.92157570626032
50_,339_,101.19181241655507
50_,8758_,24.05296309282222
1367_,51_,38.935
6801_,57_,59.252
6801_,49_,40.22546229999813
6801_,71_,61.058
1366_,49_,18.63858716454923
1366_,48_,23.612000000000002
339_,338_,117.53294773276242
339_,70_,86.29067468317704
339_,341_,71.13445005286529
339_,50_,101.19181241655508
339_,8210_,58.06381338008396
8758_,6119_,252.0693010512652
8758_,50_,18.400309340837445
51_,52_,28.904
51_,53_,32.248999999999995
52_,735_,118.12748451846451
52_,6800_,23.317380927128582
53_,4716_,25.773
53_,6800_,16.281347476803123
53_,57_,14.547
735_,712_,91.27543339376794
735_,708_,52.195227552653584
735_,736_,94.6882045078376
735_,6317_,42.88781941129669
6800_,4716_,29.55673756777536
6800_,52_,23.317380927128582
6800_,53_,16.28134747680312
4716_,54_,17.654
57_,53_,14.547
57_,56_,24.336
57_,6801_,59.252
54_,55_,24.434
55_,58_,17.09563697610545
55_,6318_,28.123
58_,56_,63.832002703410474
58_,6574_,40.29345507266078
58_,65_,20.90326287624661
58_,6318_,20.316118652493273
6318_,707_,82.313
6318_,65_,20.33967043617518
56_,54_,23.773
56_,57_,24.336
56_,58_,63.832002703410474
6574_,8673_,14.229
6574_,5882_,53.176570725620174
6574_,58_,40.29345507266076
6574_,6575_,21.38
65_,66_,32.6950186506378
65_,67_,24.411988527424754
65_,6575_,23.00563419977176
59_,56_,71.507
59_,60_,86.321
60_,70_,32.074491549853306
60_,71_,15.672
70_,8210_,28.76252163720263
70_,339_,86.29067468317703
70_,8634_,73.62973912212836
70_,71_,20.19376866992542
70_,338_,36.18054505468655
70_,333_,178.61918784369394
70_,5881_,22.541970518187327
71_,70_,20.19376866992542
71_,6801_,61.05800000000001
71_,5881_,13.321
61_,59_,44.617999999999995
62_,63_,31.191
62_,64_,32.251
63_,5882_,25.888634705556935
63_,5882_,21.84931022450533
64_,2940_,42.065
64_,2941_,66.882
5882_,333_,25.69253553741148
5882_,61_,27.71714406918407
5882_,6574_,53.176570725620174
2940_,2919_,120.761
2940_,2923_,65.958
2941_,2942_,77.428
66_,1364_,25.298000000000002
66_,67_,18.448999999999998
67_,66_,18.449
67_,6575_,29.626
67_,1363_,10.577
6575_,67_,29.626
6575_,6574_,21.38
1364_,316_,19.707
1364_,1363_,30.115
1363_,62_,35.677
706_,68_,28.834
706_,6565_,23.86
707_,6317_,124.47999999999999
707_,6318_,82.31299999999999
707_,68_,42.82
707_,69_,88.62439908068727
708_,4711_,56.025
708_,735_,52.19522755265359
708_,68_,100.208
3454_,3331_,66.88497858067083
3454_,69_,68.21117663880909
316_,1364_,19.707
316_,313_,123.996
316_,69_,92.08834461782446
8210_,8437_,16.491
8210_,70_,26.11044478381619
338_,339_,117.53294773276241
338_,340_,207.4231313760964
338_,6120_,76.88921266907151
338_,70_,36.18054505468655
333_,61_,25.8274634755448
333_,5882_,25.69253553741148
333_,70_,178.61918784369396
333_,342_,66.23649679141509
333_,332_,189.03572028407729
5881_,1365_,40.145
73_,4717_,134.288
73_,72_,17.552
73_,2985_,27.088
74_,75_,27.47
74_,72_,20.49
74_,76_,81.032
4717_,73_,134.288
4717_,4718_,42.15
4717_,4719_,33.103
2985_,2984_,42.186
2985_,8172_,59.257999999999996
2985_,73_,27.088
75_,74_,27.47
75_,9069_,82.525
75_,9078_,60.668000000000006
76_,4726_,44.30827738233325
76_,4718_,53.813
76_,74_,81.032
9069_,75_,82.525
9069_,9070_,10.608999999999998
