source,target,length
102098_,387545875_,9.146
102098_,84866813_,172.139
102098_,84864295_,69.595
102098_,7538491623_,68.035
102100_,1419066325_,7.873
102100_,8194324389_,12.468
102100_,1937962759_,16.289
102100_,8194324377_,11.597
102100_,7525286556_,15.685
102101_,26373959_,16.149
102101_,26373975_,75.15
102101_,332515499_,293.793
102102_,108337957_,17.041
102102_,941091216_,112.183
102102_,91903165_,71.328
104401_,3054882678_,15.701
104401_,739080828_,3.327
104401_,941120048_,110.69800000000001
104402_,25502538_,52.715
104402_,8194118630_,8.846
104402_,1931256259_,31.206
104403_,25502516_,164.661
104403_,7448066006_,68.809
104403_,25502523_,65.9
109644_,7335028465_,10.787
109644_,88751979_,71.151
109644_,7843989525_,83.486
109655_,26787997_,71.71
109655_,3960294087_,65.373
109655_,26787900_,133.496
109662_,26389701_,95.3
109662_,3840781184_,8.096
109663_,5460261648_,39.096
109663_,3840781184_,34.807
109663_,5460261627_,65.167
109666_,20947335_,37.848
109666_,306462607_,7.64
109666_,306462830_,52.85199999999999
109669_,306462392_,33.217
109669_,306461682_,145.534
109669_,306461682_,107.886
109670_,1119490642_,14.079
109670_,1119490643_,15.183
109670_,3922716665_,9.877
109670_,3765209063_,12.908000000000001
109670_,3765209066_,12.538
109676_,109677_,22.18
109676_,26389696_,64.203
109677_,4897234614_,23.552
109677_,1275788949_,42.694
109679_,3818359146_,9.148
109679_,1691189628_,13.492
109679_,27325323_,40.22
109699_,9814249421_,11.195
109699_,6774063503_,49.165
109699_,110063_,26.335
109869_,26389013_,90.08
109869_,2360742425_,28.78
109869_,265563774_,135.415
109870_,2360742423_,8.131
109870_,1356901661_,9.495
109870_,2360742422_,10.673
109870_,2360742427_,10.941
109873_,1260002921_,8.974
109873_,7838663562_,27.354
109873_,5898890854_,93.49799999999999
109873_,4749990829_,73.61399999999999
109884_,2194809048_,20.92
109884_,356286894_,9.323
109884_,356286883_,196.914
109884_,356286895_,9.467
109886_,356809886_,54.199
109886_,356286883_,17.547
109886_,20960099_,49.886999999999986
109888_,356286874_,13.259
109888_,1558429825_,479.00699999999995
109888_,356286873_,13.585
110063_,1119515984_,7.365
110063_,3922688290_,18.844
197978_,4366376538_,11.38
197978_,26787886_,167.425
197978_,1938018120_,12.6
197978_,26788005_,94.645
197979_,7782741588_,53.743
197979_,26788865_,63.625
197979_,1528999980_,124.11300000000001
197979_,59164289_,36.979
197981_,26788885_,95.355
197981_,27481284_,43.747
197981_,57659271_,12.735
197982_,59143603_,32.918
197982_,59143599_,28.395
197982_,26788886_,101.041
197985_,27091651_,53.329
197985_,26966609_,136.003
197985_,300425901_,129.34300000000002
197992_,1230593942_,13.09
197992_,13566032_,59.097
197992_,8194649866_,33.952
197992_,1230593312_,49.562
198012_,6855666830_,9.693
198012_,443666758_,37.956
198012_,5203355740_,37.288
198014_,18127021_,58.202999999999996
198014_,26787870_,75.318
198014_,8193289376_,114.603
198014_,26787851_,34.708999999999996
198015_,26788892_,31.884
198015_,356286873_,18.821
198015_,2214538467_,14.057
198016_,26788874_,68.503
198016_,7761762801_,31.205
198016_,26788892_,22.668999999999997
198018_,26788878_,55.706
198018_,7755332891_,50.169
198018_,26788882_,16.8
198021_,7783327543_,232.847
198021_,33141762_,35.134
198021_,1528999913_,43.976
198021_,1528999936_,42.546
198024_,1277108555_,15.734
198024_,26787925_,114.283
198024_,26787893_,38.004
198026_,8175717712_,10.764
198026_,427604651_,54.529
198026_,8172733831_,47.401999999999994
198038_,37882872_,28.111
198038_,37884367_,17.282
