source,target,length
0_,1_,13.882
0_,2_,53.44223289591862
1_,10547_,56.670799236915855
1_,4_,123.96099999999998
2_,10543_,66.52885075803808
2_,8640_,29.01620445855859
10547_,10613_,34.13567488819725
4_,3_,15.18
4_,10614_,79.15655461835921
10543_,10542_,35.773
10543_,10545_,38.062
8640_,10548_,27.835
8640_,10546_,21.793
3_,5_,24.797
3_,6_,53.391
5_,10462_,23.996744525833655
5_,10544_,14.699000000000002
6_,3155_,68.852
6_,10542_,43.765
10614_,10612_,22.184581824340032
10462_,10461_,24.802592466871733
10462_,10460_,19.651570038851577
10462_,10544_,21.44932940656131
10462_,208_,47.037944109417815
10544_,198_,79.718
3155_,206_,106.387
3155_,3152_,19.66
10542_,3153_,79.729
7_,8_,55.86566831781063
7_,8_,82.0715496432452
7_,9_,35.51544669054422
7_,10603_,61.54314549168944
7_,11_,67.3369472470042
8_,10552_,64.34505093819403
8_,10552_,86.45816605284402
8_,10550_,42.871153686489116
9_,11_,12.274
9_,10084_,12.734
10603_,3911_,40.833
10603_,205_,84.04599999999999
10603_,3989_,106.524
11_,10_,79.54
11_,10085_,12.554
10552_,10086_,45.02174096323465
10552_,3915_,65.07393071259096
10552_,10087_,66.42359287323238
10550_,3992_,33.228
10084_,10085_,11.103
10084_,10086_,33.03428779785402
10_,12_,39.318
10_,13_,53.288
12_,9004_,21.86470664516544
13_,9329_,24.194
13_,196_,35.41470126910922
13_,3826_,84.37899999999999
10085_,10087_,33.239440436856896
10085_,10087_,56.47660862027984
9004_,10460_,38.17883388679118
9329_,9340_,26.099
9329_,9328_,105.36359000822533
196_,195_,48.286582530796196
3826_,201_,79.258
3826_,17_,16.347
14_,15_,52.205
14_,16_,79.87799999999999
14_,17_,31.847
14_,18_,152.40800000000002
15_,9330_,31.853
15_,9337_,48.354
15_,3912_,74.244
16_,201_,48.443
16_,3929_,98.328
16_,19_,153.15400000000002
17_,9328_,27.013574229916564
18_,22_,79.207
18_,23_,57.498
18_,24_,44.63687469361919
9330_,9331_,16.632
9330_,9328_,24.772662079045393
9337_,9327_,17.88643914319931
3912_,3913_,79.40137763675631
3912_,3914_,52.614000000000004
3912_,3915_,55.24121259650157
201_,197_,35.724
201_,21_,152.432
3929_,811_,155.8998696766818
3929_,22_,52.896
19_,20_,39.717
19_,21_,45.263000000000005
22_,26_,153.025
23_,9325_,41.85
23_,9334_,17.781
24_,32_,31.029178856004584
24_,812_,234.05414034625196
20_,7897_,35.484
21_,200_,34.891
7897_,811_,27.588591865239568
7897_,9040_,95.872
200_,197_,152.331
200_,202_,23.208
26_,811_,48.11289672898529
26_,812_,41.419000000000004
26_,25_,95.058
9325_,9327_,53.94076627989956
9334_,9336_,54.044000000000004
32_,805_,231.086
32_,29_,31.08
812_,3857_,14.611
25_,27_,55.493
25_,28_,48.22261322615495
27_,3857_,95.295
27_,808_,50.388999999999996
28_,811_,101.4790215392254
28_,9040_,27.838170957220086
3857_,805_,23.696
808_,809_,36.298
808_,810_,101.68299999999999
29_,30_,231.56900000000002
29_,31_,129.89516438182457
29_,33_,32.781
30_,805_,27.186
30_,806_,34.551
30_,807_,35.739000000000004
31_,35_,104.80603673909185
31_,47_,52.021046595738994
31_,7875_,51.56776949637546
33_,10576_,48.592
806_,7879_,49.074
807_,809_,23.38
35_,8063_,30.322
35_,8378_,39.208
35_,34_,98.50800000000001
47_,44_,58.183
7875_,7874_,53.078
7875_,7876_,24.705
10576_,7879_,231.415
10576_,10575_,21.079
34_,36_,50.702
34_,37_,39.968
34_,38_,54.101
36_,38_,89.732
36_,8377_,67.2981963575283
37_,41_,24.891
37_,8378_,97.481
38_,787_,56.025
8063_,8064_,27.732
8063_,785_,87.507
8378_,10575_,86.545
8377_,5428_,64.07171026528796
8377_,814_,43.317565492954365
8377_,3927_,24.711347589813073
8377_,11047_,38.08897155749499
41_,39_,61.627
787_,813_,57.102284481392594
787_,68_,100.208
39_,40_,72.96799999999999
39_,42_,26.128
39_,43_,48.922
40_,3928_,48.474
40_,7894_,36.558
42_,3924_,109.851
42_,3925_,46.726
43_,3926_,82.129
43_,3927_,140.779
43_,3928_,71.882
3928_,5854_,62.567
3928_,5856_,115.598
7894_,364_,61.511
7894_,3924_,28.129
3924_,362_,122.629
3925_,10575_,22.195
3925_,3923_,231.278
3926_,5856_,77.61800000000001
3926_,7892_,42.473
3927_,11047_,14.165
44_,45_,49.664
44_,46_,17.165
45_,7874_,55.57
45_,3858_,56.556
46_,68_,87.928
46_,69_,51.89710478303449
3858_,3859_,58.4182921464811
3858_,3860_,79.138837944924
3858_,3861_,58.643373514359126
68_,785_,28.834
68_,786_,39.0793804102966
69_,786_,92.40070769969645
69_,4008_,68.21117664107133
69_,7626_,87.49460143865679
48_,49_,48.099440010924084
48_,50_,84.0895970894526
48_,8608_,42.0341432655297
48_,8609_,45.830029745469
49_,72_,36.312
50_,8570_,53.026
8608_,818_,99.1603801825449
8608_,8609_,21.605
