source,target,length
0_,1_,98.50800000000001
0_,2_,50.702
0_,3_,39.968
0_,4_,54.101
1_,3379_,30.322
2_,4_,89.732
2_,3460_,67.29819635948179
4_,478_,56.025
4_,3381_,34.461
5_,6_,49.664
5_,7_,17.165
5_,8_,58.183
6_,3292_,55.57
6_,1342_,56.556
7_,29_,87.928
7_,30_,51.89710478401847
8_,3461_,33.496
9_,10_,48.099440013455194
9_,11_,84.0895970919837
9_,3551_,42.03414326299859
9_,3552_,45.83002974293789
10_,33_,36.312
10_,2282_,116.272
11_,3531_,53.026
11_,3532_,113.98800000000001
12_,13_,46.516999999999996
12_,14_,59.00150011578583
12_,15_,23.612
13_,16_,38.935
13_,732_,37.662
14_,2263_,59.918888848707795
14_,4827_,262.4385094552996
15_,732_,24.128999999999998
15_,3507_,74.67699999999999
16_,17_,70.45
16_,18_,58.02199999999999
17_,493_,71.14122811230547
17_,3468_,27.753999999999998
18_,19_,17.654
18_,2269_,120.02234966270218
19_,20_,24.434
19_,21_,35.088
20_,4920_,21.503
20_,3224_,31.24420551435925
21_,22_,60.192
21_,3802_,56.45799999999999
21_,3801_,20.753999999999998
22_,23_,86.321
22_,24_,44.617999999999995
23_,31_,25.183
23_,32_,28.993000000000002
24_,25_,244.75600000000003
24_,26_,75.6
25_,335_,66.17357026168938
25_,3016_,85.30900000000001
26_,27_,35.677
26_,28_,37.95776392243363
27_,730_,14.87575620750393
27_,731_,39.022999999999996
28_,1117_,76.13469353971944
28_,1117_,73.9893771129282
28_,1096_,37.78367005823773
28_,4183_,210.14183300751432
28_,730_,77.85694946011043
29_,476_,28.834
29_,477_,39.07938041136253
29_,478_,100.208
30_,477_,92.40070769961451
30_,1413_,68.21117663110114
30_,3225_,87.49460143157921
31_,339_,23.323
31_,3612_,65.374
32_,732_,40.145
32_,3015_,42.745000000000005
33_,34_,17.552
33_,35_,20.49
34_,2270_,134.288
34_,1205_,27.088
35_,36_,27.47
35_,37_,81.032
36_,4978_,82.525
36_,4984_,60.668000000000006
37_,2279_,44.308277379695966
37_,2271_,53.813
38_,39_,56.474
38_,40_,19.172
38_,41_,60.192
38_,42_,33.976
39_,44_,12.103712305954382
39_,2416_,39.766000000000005
40_,3511_,84.22200000000001
40_,4373_,69.607
41_,2279_,136.31992140216389
41_,44_,98.70038454112552
41_,2415_,26.652
42_,1211_,16.962
42_,1211_,54.184
43_,44_,28.561422400958747
43_,44_,36.54216516706162
43_,1212_,91.32297992392952
43_,4261_,50.648141010521584
43_,4261_,27.200032947144045
43_,2415_,140.2807695990991
43_,1217_,99.55176002157243
45_,46_,424.4069961738392
45_,47_,42.602919875489846
45_,48_,31.39142464735959
45_,48_,32.940412489392635
45_,1551_,33.17044415129419
45_,349_,245.23445115581174
47_,1553_,72.0712108337351
47_,1551_,16.546714735131065
48_,352_,175.49769547157857
48_,352_,175.20517284137958
48_,351_,43.70245438915656
48_,2469_,37.57696617203766
48_,350_,248.85881667045555
48_,349_,264.12688113409973
49_,50_,11.476945613279986
49_,51_,109.42479738796497
49_,52_,23.45865426371609
50_,53_,21.72057313115853
50_,54_,18.102511360661612
51_,3508_,26.018853507460197
51_,3508_,21.93271555784513
51_,3509_,21.31597035747746
51_,3392_,46.25381465552904
52_,490_,36.790638459151864
52_,54_,19.802971505265752
53_,54_,23.61929720763376
53_,55_,24.309
54_,491_,43.66094000148335
55_,57_,25.111
55_,5461_,21.262
56_,57_,13.07
56_,58_,35.753
56_,59_,53.14851437554543
57_,58_,31.345
58_,3393_,148.128
59_,3390_,32.07998667118286
59_,3390_,27.555058009642874
59_,3391_,49.430341840471385
59_,3391_,31.40935989672687
59_,3391_,39.27874685271529
59_,65_,71.49633194023932
60_,61_,20.936
60_,62_,160.267
60_,63_,15.823
61_,1472_,47.223
61_,1469_,159.736
62_,1469_,21.996
62_,2425_,57.252
63_,76_,20.183
63_,77_,24.518
64_,65_,23.144362724697515
64_,66_,280.97970991385256
64_,66_,244.9783468722136
64_,1075_,24.863196488945757
64_,1073_,316.8151335022729
64_,917_,468.68863111979476
65_,987_,48.466
66_,67_,43.063
67_,68_,243.301
67_,1073_,164.084
